state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
870000	-440080.04499400716	-31039.656823333316	-409040.38817067386	2029.832391966679	-3.8406111447613966	10711.408938290444	327.42489446348947	0.0022449779802979908	7.648833456441684	0.36400234635801776	0.18734363455774225	0.18940236901087618	0.2592516500733637	0.005328052799366818	0.005328052799366841	-409040.38817067386	0.0	-30981.056400395846
900000	-435265.7194816434	-31133.674417168557	-404132.04506447486	2030.1824365052153	-4.190655683297564	10804.84799508818	325.11856639086386	0.0022449779802979908	7.551456252933022	0.36484973330486065	0.1869701803797096	0.19122710740193463	0.25695297891349494	0.005210212274427874	0.0052102122744278724	-404132.04506447486	0.0	-31075.89323276454
930000	-429318.4007530508	-31073.387333617426	-398245.0134194334	2030.0108369269433	-4.019056105025584	9732.497383720991	326.86442117263863	0.0022449779802979908	7.710025618328708	0.3658927845975116	0.1885729408945583	0.1908007865613573	0.25473348794657236	0.005108300268581791	0.005108300268581756	-398245.0134194334	0.0	-31022.102932753212
960000	-425193.4392187751	-31080.383263884094	-394113.05595489097	2030.838947125889	-4.847166303971335	9524.827099954444	339.9477026574561	0.0022449779802979908	7.626877764468919	0.36600424207358484	0.18990159405029877	0.19015478846601896	0.2539393754100971	0.004993826185163609	0.004993826185163572	-394113.05595489097	0.0	-31031.229392404122
990000	-420822.0772795773	-31135.94812245905	-389686.12915711827	2030.5760426996462	-4.5842618777285224	9563.719430432839	334.92675071740985	0.0022449779802979908	7.541295610177535	0.36376081068758953	0.19000854844577786	0.18771510521438745	0.2585155356522449	0.004897099748337003	0.0048970997483370245	-389686.12915711827	0.0	-31087.57048568678
1020000	-416216.8172823673	-31161.46677496405	-385055.35050740326	2030.287212922034	-4.295432100116386	9587.749264502942	335.0347080245911	0.0022449779802979908	7.563791327639885	0.35796184832555406	0.19271463487318924	0.19009551755030055	0.25922799925095585	0.0047793629900651806	0.004779362990065205	-385055.35050740326	0.0	-31114.1084660361
1050000	-411848.8372385161	-31194.133328209668	-380654.7039103064	2030.784893674216	-4.793112852298236	9594.782856405072	334.5636478554228	0.0022449779802979908	7.732088667492859	0.36148333028822016	0.18843461197440448	0.19025106743634926	0.2598309903010259	0.0047458466999801665	0.004745846699980166	-380654.7039103064	0.0	-31147.03170232828
1080000	-406835.8454720099	-31314.6281609518	-375521.21731105814	2030.4744688197468	-4.482687997829089	11579.358265872976	353.6831856366901	0.0022449779802979908	7.958327319170606	0.3651490680999706	0.1888634624918205	0.18843737347499542	0.25755009593321326	0.004561697335459283	0.004561697335459294	-375521.21731105814	0.0	-31260.250190247294
1110000	-403426.44693268795	-31269.447304723275	-372156.9996279647	2031.8477448061274	-5.855963984209666	11611.10835520979	340.9219206498371	0.0015795945138699086	7.914240277020354	0.36490962635824176	0.1880948485769395	0.18872174907522374	0.258273775989595	0.004536852889372914	0.004536852889372916	-372156.9996279647	0.0	-31215.26384886103
1140000	-399626.7810846659	-31272.7677810395	-368354.0133036264	2031.1838788060484	-5.192097984130669	11536.012634392995	342.3925668363017	0.0015795945138699086	7.735085096830465	0.36392431445183354	0.1874676764795409	0.18851617342917046	0.2600918356394551	0.004463247994508213	0.004463247994508208	-368354.0133036264	0.0	-31219.81314995861
1170000	-395225.75678438914	-31265.863622484663	-363959.8931619045	2031.3783877717292	-5.386606949811494	11524.863104541253	338.4243203024323	0.0014990891438557696	7.861695545876757	0.3657636003315011	0.1877626993362343	0.18985453701337554	0.25661916331888895	0.004367705356815648	0.004367705356815653	-363959.8931619045	0.0	-31214.05475764284
1200000	-391520.5584655498	-31306.841647694047	-360213.7168178557	2032.791130261692	-6.7993494397742325	11565.936392399244	337.5388399043342	0.0014990891438557696	7.904836268368581	0.3648377627065969	0.1871341656085915	0.19152938627703603	0.2564986854077755	0.004338457933180233	0.004338457933180247	-360213.7168178557	0.0	-31255.190217196177
1230000	-387610.27641663386	-31285.294595567088	-356324.98182106676	2031.1159697100097	-5.124188888092021	11545.02662261945	342.56139285130996	0.0014990891438557696	7.926452670101734	0.36249814272125414	0.18965047585766465	0.19076600025251406	0.25708538116856705	0.004240415178246003	0.004240415178246003	-356324.98182106676	0.0	-31234.856942368897
1260000	-383646.58121360146	-31229.66620286181	-352416.91501073964	2032.215399632369	-6.2236188104513985	11504.380569160441	342.41746449220784	0.0014990891438557696	7.876057862991682	0.36653562408686424	0.18770626434988633	0.19206200445998584	0.25369610710326346	0.004237045928427938	0.004237045928427925	-352416.91501073964	0.0	-31179.449454822923
1290000	-379731.57791280124	-31180.92468612541	-348550.6532266758	2032.765960988331	-6.774180166413316	11493.8176835882	338.43428243553967	0.0014990891438557696	7.946832776790309	0.36221745945581574	0.1898594902485265	0.1927232650733411	0.25519978522231646	0.0042098806423631	0.004209880642363103	-348550.6532266758	0.0	-31131.064321393555
1320000	-376072.57453398913	-31153.507507130482	-344919.0670268586	2031.8271203882684	-5.83533956635074	11475.279197804997	332.22407996029716	0.0014990891438557696	7.963347210556708	0.36519986388362724	0.18804349053635191	0.19027171939532875	0.2564849261846916	0.004108741492468395	0.004108741492468397	-344919.0670268586	0.0	-31104.912156458355
