name	state
A/swine/Ohio/12TOSU483/2012|A_/_H3N2|unassigned|2012-08-10|HA|4|EPI_ISL_131254	Ohio
A/swine/Ohio/12TOSU484/2012|A_/_H3N2|unassigned|2012-08-10|HA|4|EPI_ISL_131255	Ohio
A/swine/Ohio/12TOSU370/2012|A_/_H3N2|unassigned|2012-08-01|HA|4|EPI_ISL_137551	Ohio
A/swine/Ohio/12TOSU363/2012|A_/_H3N2|unassigned|2012-08-01|HA|4|EPI_ISL_137552	Ohio
A/swine/Ohio/12TOSU371/2012|A_/_H3N2|unassigned|2012-08-03|HA|4|EPI_ISL_137620	Ohio
A/swine/Ohio/12TOSU374/2012|A_/_H3N2|unassigned|2012-08-03|HA|4|EPI_ISL_137621	Ohio
A/swine/Ohio/A01133466/2012|A_/_H3N2|unassigned|2012-08-06|HA|4|EPI_ISL_129869	Ohio
A/swine/Kansas/A01377090/2013|A_/_H3N2|unassigned|2013-10-10|HA|4|EPI_ISL_151926	Kansas
A/swine/Indiana/A00968386/2012|A_/_H3N2|unassigned|2012-07-26|HA|4|EPI_ISL_129293	Indiana
A/swine/Indiana/A00968370/2012|A_/_H3N2|unassigned|2012-07-13|HA|4|EPI_ISL_129367	Indiana
A/swine/Indiana/A00968376/2012|A_/_H3N2|unassigned|2012-07-13|HA|4|EPI_ISL_129369	Indiana
A/swine/Indiana/A00968373/2012|A_/_H3N2|unassigned|2012-07-13|HA|4|EPI_ISL_129368	Indiana
A/swine/Indiana/A00968379/2012|A_/_H3N2|unassigned|2012-07-13|HA|4|EPI_ISL_129370	Indiana
A/swine/Indiana/A00968397/2012|A_/_H3N2|unassigned|2012-08-06|HA|4|EPI_ISL_130419	Indiana
A/swine/Ohio/12TOSU268/2012|A_/_H3N2|unassigned|2012-07-28|HA|4|EPI_ISL_129365	Ohio
A/swine/Ohio/12TOSU293/2012|A_/_H3N2|unassigned|2012-07-28|HA|4|EPI_ISL_129366	Ohio
A/swine/Ohio/A01208180/2012|A_/_H3N2|unassigned|2012-07-31|HA|4|EPI_ISL_142027	Ohio
A/swine/Texas/13TOSU0060/2013|A_/_H3N2|unassigned|2013-02-28|HA|4|EPI_ISL_168320	Texas
A/swine/Ohio/13TOSU1373/2013|A_/_H3N2|unassigned|2013-08-01|HA|4|EPI_ISL_161117	Ohio
A/swine/Minnesota/A01301908/2012|A_/_H3N2|unassigned|2012-09-02|HA|4|EPI_ISL_131253	Minnesota
A/swine/Ohio/12TOSU138/2012|A_/_H3N2|unassigned|2012-07-12|HA|4|EPI_ISL_139854	Ohio
A/swine/Ohio/12TOSU175/2012|A_/_H3N2|unassigned|2012-07-19|HA|4|EPI_ISL_139853	Ohio
A/swine/Ohio/12TOSU129/2012|A_/_H3N2|unassigned|2012-07-12|HA|4|EPI_ISL_139856	Ohio
A/swine/Ohio/12TOSU176/2012|A_/_H3N2|unassigned|2012-07-19|HA|4|EPI_ISL_139857	Ohio
A/swine/Ohio/12TOSU433/2012|A_/_H3N2|unassigned|2012-08-06|HA|4|EPI_ISL_140908	Ohio
A/swine/Ohio/12TOSU464/2012|A_/_H3N2|unassigned|2012-08-09|HA|4|EPI_ISL_129357	Ohio
A/swine/Ohio/12TOSU467/2012|A_/_H3N2|unassigned|2012-08-09|HA|4|EPI_ISL_129356	Ohio
A/swine/Indiana/A01432492/2013|A_/_H3N2|unassigned|2013-03-01|HA|4|EPI_ISL_138992	Indiana
A/swine/Iowa/13E045/2013|A_/_H3N2|unassigned|2013-05-29|HA|4|EPI_ISL_151996	Iowa
A/swine/Ohio/A01349305/2013|A_/_H3N2|unassigned|2013-03-12|HA|4|EPI_ISL_139682	Ohio
A/swine/Ohio/A01349302/2013|A_/_H3N2|unassigned|2013-03-12|HA|4|EPI_ISL_139683	Ohio
A/swine/Ohio/A01349495/2013|A_/_H3N2|unassigned|2013-03-22|HA|4|EPI_ISL_139686	Ohio
A/swine/Ohio/A01349485/2013|A_/_H3N2|unassigned|2013-03-22|HA|4|EPI_ISL_139685	Ohio
A/swine/Ohio/A01349615/2013|A_/_H3N2|unassigned|2013-03-29|HA|4|EPI_ISL_140877	Ohio
A/swine/Ohio/A01364406/2013|A_/_H3N2|unassigned|2013-08-27|HA|4|EPI_ISL_149662	Ohio
A/swine/Ohio/A01351573/2013|A_/_H3N2|unassigned|2013-07-10|HA|4|EPI_ISL_145935	Ohio
A/swine/Iowa/A01432840/2013|A_/_H3N2|unassigned|2013-06-01|HA|4|EPI_ISL_147153	Iowa
A/swine/Ohio/12TOSU420/2012|A_/_H3N2|unassigned|2012-08-06|HA|4|EPI_ISL_129361	Ohio
A/swine/Indiana/A01104029/2012|A_/_H3N2|unassigned|2012-08-01|HA|4|EPI_ISL_129291	Indiana
A/swine/Indiana/A01104030/2012|A_/_H3N2|unassigned|2012-08-01|HA|4|EPI_ISL_129292	Indiana
A/swine/Indiana/A01260041/2012|A_/_H3N2|unassigned|2012-10-01|HA|4|EPI_ISL_132319	Indiana
A/swine/Indiana/A01260230/2013|A_/_H3N2|unassigned|2013-02-05|HA|4|EPI_ISL_142299	Indiana
A/swine/Iowa/13H075/2013|A_/_H3N2|unassigned|2013-08-28|HA|4|EPI_ISL_157606	Iowa
A/swine/Iowa/13H087/2013|A_/_H3N2|unassigned|2013-08-28|HA|4|EPI_ISL_153855	Iowa
A/swine/Iowa/A01290438/2013|A_/_H3N2|unassigned|2013-09-01|HA|4|EPI_ISL_151712	Iowa
A/swine/Minnesota/A01481073/2014|A_/_H3N2|unassigned|2014-04-16|HA|4|EPI_ISL_162474	Minnesota
