name	date
A/swine/Indiana/A01260371/2013|A_/_H3N2|unassigned|2013-08-19|HA|4|EPI_ISL_151703	2013-08-19
A/swine/Indiana/A01260368/2013|A_/_H3N2|unassigned|2013-08-19|HA|4|EPI_ISL_151704	2013-08-19
A/swine/Indiana/13TOSU1035/2013|A_/_H3N2|unassigned|2013-07-01|HA|4|EPI_ISL_161124	2013-07-01
A/swine/Indiana/13TOSU1026/2013|A_/_H3N2|unassigned|2013-07-01|HA|4|EPI_ISL_161180	2013-07-01
A/swine/Indiana/A01432300/2013|A_/_H3N2|unassigned|2013-01-01|HA|4|EPI_ISL_136568	2013-01-01
A/swine/Indiana/A01260361/2013|A_/_H3N2|unassigned|2013-08-08|HA|4|EPI_ISL_149658	2013-08-08
A/swine/North_Carolina/A01290778/2013|A_/_H3N2|unassigned|2013-11-01|HA|4|EPI_ISL_153756	2013-11-01
A/swine/North_Carolina/A01475217/2014|A_/_H3N2|unassigned|2014-03-01|HA|4|EPI_ISL_162025	2014-03-01
A/swine/North_Carolina/A01410511/2014|A_/_H3N2|unassigned|2014-03-01|HA|4|EPI_ISL_162320	2014-03-01
A/swine/Indiana/A01260093/2012|A_/_H3N2|unassigned|2012-10-30|HA|4|EPI_ISL_132939	2012-10-30
A/swine/North_Carolina/A01409104/2013|A_/_H3N2|unassigned|2013-10-01|HA|4|EPI_ISL_153747	2013-10-01
A/swine/Iowa/A01290867/2013|A_/_H3N2|unassigned|2013-11-01|HA|4|EPI_ISL_155701	2013-11-01
A/swine/Illinois/A01509203/2014|A_/_H3N2|unassigned|2014-04-15|HA|4|EPI_ISL_162554	2014-04-15
A/swine/Illinois/A01509186/2014|A_/_H3N2|unassigned|2014-04-15|HA|4|EPI_ISL_162552	2014-04-15
A/swine/Illinois/A01509209/2014|A_/_H3N2|unassigned|2014-04-15|HA|4|EPI_ISL_162556	2014-04-15
A/swine/California/A00968949/2014|A_/_H3N2|unassigned|2014-07-02|HA|4|EPI_ISL_167220	2014-07-02
A/swine/Indiana/A01260280/2013|A_/_H3N2|unassigned|2013-04-19|HA|4|EPI_ISL_143498	2013-04-19
A/swine/Maryland/A01319694/2013|A_/_H3N2|unassigned|2013-04-10|HA|4|EPI_ISL_146093	2013-04-10
A/swine/Indiana/A00968364/2012|A_/_H3N2|unassigned|2012-07-03|HA|4|EPI_ISL_151699	2012-07-03
A/swine/Ohio/A00138552/2012|A_/_H3N2|unassigned|2012-09-02|HA|4|EPI_ISL_131252	2012-09-02
A/swine/Ohio/12TOSU318/2012|A_/_H3N2|unassigned|2012-08-03|HA|4|EPI_ISL_139858	2012-08-03
A/swine/Iowa/A01267939/2012|A_/_H3N2|unassigned|2012-10-24|HA|4|EPI_ISL_132329	2012-10-24
A/swine/Iowa/A01203863/2012|A_/_H3N2|unassigned|2012-10-01|HA|4|EPI_ISL_132357	2012-10-01
A/swine/Ohio/13TOSU2052/2013|A_/_H3N2|unassigned|2013-08-01|HA|4|EPI_ISL_161143	2013-08-01
A/swine/Iowa/A01432271/2012|A_/_H3N2|unassigned|2012-12-01|HA|4|EPI_ISL_136567	2012-12-01
A/swine/Ohio/12TOSU333/2012|A_/_H3N2|unassigned|2012-08-03|HA|4|EPI_ISL_140904	2012-08-03
A/swine/Ohio/12TOSU409/2012|A_/_H3N2|unassigned|2012-08-06|HA|4|EPI_ISL_140914	2012-08-06
A/swine/Ohio/12TOSU439/2012|A_/_H3N2|unassigned|2012-08-06|HA|4|EPI_ISL_140913	2012-08-06
A/swine/Ohio/13TOSU2043/2013|A_/_H3N2|unassigned|2013-08-01|HA|4|EPI_ISL_161604	2013-08-01
A/swine/Indiana/A01260099/2012|A_/_H3N2|unassigned|2012-11-02|HA|4|EPI_ISL_132940	2012-11-02
A/swine/Ohio/13TOSU1547/2013|A_/_H3N2|unassigned|2013-08-01|HA|4|EPI_ISL_161680	2013-08-01
A/swine/Ohio/12TOSU307/2012|A_/_H3N2|unassigned|2012-08-03|HA|4|EPI_ISL_129360	2012-08-03
A/swine/Indiana/A00968394/2012|A_/_H3N2|unassigned|2012-08-06|HA|4|EPI_ISL_133714	2012-08-06
A/swine/Indiana/A00968398/2012|A_/_H3N2|unassigned|2012-08-06|HA|4|EPI_ISL_133712	2012-08-06
A/swine/Maryland/A01104048/2012|A_/_H3N2|unassigned|2012-08-16|HA|4|EPI_ISL_129868	2012-08-16
A/swine/Pennsylvania/A01104049/2012|A_/_H3N2|unassigned|2012-08-09|HA|4|EPI_ISL_131261	2012-08-09
A/swine/Pennsylvania/A01104050/2012|A_/_H3N2|unassigned|2012-08-09|HA|4|EPI_ISL_133713	2012-08-09
A/swine/Ohio/12TOSU308/2012|A_/_H3N2|unassigned|2012-08-03|HA|4|EPI_ISL_139855	2012-08-03
A/swine/Ohio/12TOSU325/2012|A_/_H3N2|unassigned|2012-08-03|HA|4|EPI_ISL_139859	2012-08-03
A/swine/Michigan/A01259003/2012|A_/_H3N2|unassigned|2012-11-28|HA|4|EPI_ISL_135960	2012-11-28
A/swine/Indiana/A00968380/2012|A_/_H3N2|unassigned|2012-07-18|HA|4|EPI_ISL_128502	2012-07-18
A/swine/Ohio/12TOSU52/2012|A_/_H3N2|unassigned|2012-06-22|HA|4|EPI_ISL_140919	2012-06-22
A/swine/Ohio/12TOSU50/2012|A_/_H3N2|unassigned|2012-06-22|HA|4|EPI_ISL_140920	2012-06-22
A/swine/Indiana/A01104016/2012|A_/_H3N2|unassigned|2012-07-31|HA|4|EPI_ISL_129191	2012-07-31
A/swine/Indiana/A01104023/2012|A_/_H3N2|unassigned|2012-07-31|HA|4|EPI_ISL_129290	2012-07-31
A/swine/Ohio/A01133464/2012|A_/_H3N2|unassigned|2012-08-03|HA|4|EPI_ISL_129874	2012-08-03
A/swine/Indiana/A00968308/2012|A_/_H3N2|unassigned|2012-08-09|HA|4|EPI_ISL_130420	2012-08-09
A/swine/Ohio/12TOSU527/2012|A_/_H3N2|unassigned|2012-08-15|HA|4|EPI_ISL_131258	2012-08-15
A/swine/Ohio/12TOSU338/2012|A_/_H3N2|unassigned|2012-08-03|HA|4|EPI_ISL_140907	2012-08-03
A/swine/Ohio/12TOSU421/2012|A_/_H3N2|unassigned|2012-08-06|HA|4|EPI_ISL_140911	2012-08-06
A/swine/Ohio/12TOSU447/2012|A_/_H3N2|unassigned|2012-08-09|HA|4|EPI_ISL_129359	2012-08-09
A/swine/Ohio/12TOSU450/2012|A_/_H3N2|unassigned|2012-08-09|HA|4|EPI_ISL_129358	2012-08-09
A/swine/Wisconsin/A00677500/2012|A_/_H3N2|unassigned|2012-08-19|HA|4|EPI_ISL_129875	2012-08-19
A/swine/Ohio/A00152576/2012|A_/_H3N2|unassigned|2012-08-15|HA|4|EPI_ISL_129877	2012-08-15
A/swine/Ohio/A01208457/2012|A_/_H3N2|unassigned|2012-08-07|HA|4|EPI_ISL_129876	2012-08-07
A/swine/Ohio/12TOSU527/2012|A_/_H3N2|unassigned|2012-01-01|HA|4|EPI_ISL_16706690	2012-01-01
A/swine/Ohio/12TOSU522/2012|A_/_H3N2|unassigned|2012-08-15|HA|4|EPI_ISL_131256	2012-08-15
A/swine/Ohio/13TOSU1238/2013|A_/_H3N2|unassigned|2013-01-01|HA|4|EPI_ISL_16706165	2013-01-01
A/swine/Ohio/12TOSU447/2012|A_/_H3N2|unassigned|2012-01-01|HA|4|EPI_ISL_16706161	2012-01-01
A/swine/Ohio/13TOSU1238/2013|A_/_H3N2|3C.3a|2013-02-01|HA|4|EPI_ISL_16891315	2013-02-01
A/swine/Maryland/A01104040/2012|A_/_H3N2|unassigned|2012-08-15|HA|4|EPI_ISL_129867	2012-08-15
A/swine/Illinois/A01432127/2012|A_/_H3N2|unassigned|2012-10-29|HA|4|EPI_ISL_132337	2012-10-29
